SA3,Region,Median Price,12M Growth (%),Rent Change (%),Yield (%),Buy Affordability,Rent Affordability,10Y Growth (PA),Latitude,Longitude
Griffith - Murrumbidgee (West),Riverina,435000,20.8,8,5.1,4.87,25,6.51,-34.289,146.058
Tamworth - Gunnedah,New England and North West,457000,14.3,7,5.1,5.56,28,5.23,-31.089,150.931
Lachlan Valley,Central West,420000,7.7,5,5.1,5.93,30,9.09,-33.389,147.993
Mildura,North West,450000,7.1,13,5.4,5.76,31,8.37,-34.199,142.16
Limestone Coast,South Australia - South East,409200,6.8,11,5.3,5.34,28,7.41,-37.839,140.779
Wangaratta - Benalla,Hume,495000,4.2,7,4.8,6.62,32,9.41,-36.363,146.001
Wodonga - Alpine,Hume,580000,3.6,8,4.7,6.82,32,9.66,-36.126,146.894
Launceston,Launceston and North East,560000,2.8,2,4.5,7.14,32,10.74,-41.441,147.14
Dubbo,Far West and Orana,518000,2.6,8,5.0,6.08,30,7.56,-32.256,148.604
Bendigo,Bendigo,553000,2.4,7,4.5,6.62,30,6.76,-36.757,144.28
